ID,TITLE_AUTHOR_DATE_COMBINED_NORMALIZED,TITLE,TITLE_REMAINDER,AUTHOR,AUTHOR_QUALIFIER,AUTHOR_DATE,EDITION,BEGIN_PUBLICATION_DATE,PUBDATE_260,PUBDATE_264,PUBPLACE_260,PUBPLACE_264,PUBLISHER_260,PUBLISHER_264,EXTENT,ASSOCIATED_ISBNS,ASSOCIATED_OCLC_NUMBERS,LCCN,ATHABASCA,BROCK,CALGARY,CONCORDIA,LAC,LAVAL,MANITOBA,MCGILL,MEMORIAL,MONTREAL,OTTAWA,QUEENS,REGINA,TORONTO,UALBERTA,UBC,WILFRID_LAURIER,ALL_SCHOOLS,TITLE_MATCH_COUNT,ATHABASCA_RETENTION,BROCK_RETENTION,MEMORIAL_RETENTION,TORONTO_RETENTION,LAC_RETENTION,UBC_RETENTION,CALGARY_RETENTION,UALBERTA_RETENTION,CONCORDIA_RETENTION,LAVAL_RETENTION,MANITOBA_RETENTION,MCGILL_RETENTION,MONTREAL_RETENTION,QUEENS_RETENTION,REGINA_RETENTION,WILFRID_LAURIER_RETENTION,OTTAWA_RETENTION,RETENTIONS_APPLIED
3,1985pacificsalmontreatysharingconservationburdensandbenefits-shep-2005,The 1985 Pacific Salmon Treaty :,sharing conservation burdens and benefits /,"Shepard, M. P.","(Michael Perry),",1926-,,2005,c2005.,,Vancouver :,,"UBC Press,",,"xvi, 288 p. :","0774811412, 0774811420, 9780774811415, 9780774811422","60416215, 977603932, 154665429",,,YES,YES,,YES,YES,,YES,,,YES,,YES,YES,YES,YES,,BROCK-545 TORONTO-283 TORONTO-2077 LAC-705 UBC-299 CALGARY-435 UALBERTA-628 LAVAL-718 MCGILL-1004 REGINA-766 OTTAWA-308,11,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3
4,1angelsquare-gran-2013,1 Angel Square /,,"Grant, Len,",,,,2013,,2013.,,"Manchester :;New York :;Vancouver, BC, Canada :",,"Manchester University Press,;Distributed in the United States exclusively by Palgrave Macmillan ;;Distributed in Canada exclusively by UBC Press, University of British Columbia",160 pages :,"0719091101, 9780719091100","60001857942, 869843375",,,,YES,,,,,,,,,,,,,,,CALGARY-523,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
5,abletoleaddisablementradicalismandthepoliticallifeofetkingsley-malh-2021,Able to lead :,"disablement, radicalism, and the political life of  E.T. Kingsley /","Malhotra, Ravi",,,,2021,,[2021];©2021,,Vancouver ;;Toronto :,,"UBC Press,","xv, 374 pages :","0774865768, 0774865776, 9780774865760, 9780774865777, 9780774865791",1162520318,2020446482,,,,YES,YES,,,,,,,,,YES,,,,TORONTO-34 LAC-1648 CONCORDIA-1080,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3
6,aboriginalandtreatyrightsincanadaessaysonlawequalityandrespectfordifference--1997,Aboriginal and treaty rights in Canada :,"essays on law, equality, and respect for difference /",,,,,1997,c1997.,,"Vancouver, B.C. :",,"UBC Press,",,"xv, 284 p.",0774805811,,97175369,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,REGINA-336 UBC-303 LAC-674 WILFRIDLAURIER-370 LAVAL-29 ATHABASCA-183 BROCK-523 MEMORIAL-1193 TORONTO-179 LAC-408 UBC-286 UALBERTA-299 CONCORDIA-226 LAVAL-28 MANITOBA-268 MCGILL-50 MONTREAL-371 QUEENS-132 QUEENS-790 WILFRIDLAURIER-106 OTTAWA-793 CALGARY-1367,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3
12,aboriginalautonomyanddevelopmentinnorthernquebecandlabrador--2001,Aboriginal autonomy and development in northern Quebec and Labrador /,,,,,,2001,c2001.,,Vancouver :,,"UBC Press,",,"xii, 436 p. :","0774808446, 0774808454, 9780774808446, 9780774808453","46628547, 423832053",,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES,BROCK-432 MEMORIAL-954 TORONTO-620 LAC-543 UBC-291 UBC-296 CALGARY-174 UALBERTA-460 CONCORDIA-290 LAVAL-30 MANITOBA-410 MCGILL-51 MONTREAL-203 QUEENS-331 WILFRIDLAURIER-369 OTTAWA-829,16,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3
13,aboriginalconditionsresearchasafoundationforpublicpolicy--2002,Aboriginal conditions :,research as a foundation for public policy /,,,,,2002,2003.,,"Vancouver, BC :",,UBC Press,,"xxvii, 285 p. :",0774810211,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,TORONTO-1084 ATHABASCA-293 BROCK-537 MEMORIAL-1446 TORONTO-1915 LAC-606 UBC-293 UBC-297 CALGARY-277 UALBERTA-535 CONCORDIA-326 LAVAL-31 MANITOBA-63 MCGILL-52 QUEENS-144 REGINA-756 WILFRIDLAURIER-151 OTTAWA-14,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3
15,aboriginaleducationfulfillingthepromise--2000,Aboriginal education :,fulfilling the promise /,,,,,2000,c2000.,,Vancouver :,,"UBC Press,",,"xviii, 278 p. :","0774807822, 0774807830, 9780774807821, 9780774807838","43884724, 774807822, 154116998",,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,ATHABASCA-344 BROCK-29 MEMORIAL-559 TORONTO-791 LAC-514 UBC-289 UBC-295 CALGARY-645 UALBERTA-429 CONCORDIA-272 LAVAL-32 MANITOBA-67 MCGILL-53 MONTREAL-16 QUEENS-995 REGINA-27 WILFRIDLAURIER-573 OTTAWA-429,18,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3
16,aboriginaljusticeandthecharterrealizingaculturallysensitiveinterpretationof-milw-2012,Aboriginal justice and the Charter :,realizing a culturally sensitive interpretation of legal rights /,"Milward, David Leo,",,1974-,,2012,2012.,,Vancouver :,,"UBC Press,",,"xviii, 303 p.","0774824565, 9780774824569, 9780774824576","804030371, 820438833",,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,BROCK-969 MEMORIAL-1431 TORONTO-1957 LAC-1131 UBC-310 UBC-312 CALGARY-1192 UALBERTA-1025 CONCORDIA-702 LAVAL-33 MANITOBA-984 MCGILL-54 MONTREAL-481 QUEENS-456 REGINA-408 OTTAWA-7,16,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3
17,aboriginalpeoplesandforestlandsincanada--2012,Aboriginal peoples and forest lands in Canada /,,,,,,2012,2012.,,Vancouver :,,"UBC Press,",,"xi, 352 p.","0774823348, 9780774823340",799130132,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES,,REGINA-899 BROCK-370 MEMORIAL-949 MEMORIAL-1135 TORONTO-387 TORONTO-485 LAC-1125 UBC-314 CALGARY-1199 UALBERTA-1009 CONCORDIA-697 LAVAL-34 MANITOBA-362 MCGILL-55 MONTREAL-500 OTTAWA-940 OTTAWA-991,17,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3
19,aboriginalpeoplesandpoliticstheindianlandquestioninbritishcolumbia18491989-tenn-1990,Aboriginal peoples and politics :,"the Indian land question in British Columbia, 1849-1989 /","Tennant, Paul,",,1938-,,1990,c1990.,,Vancouver :,,"University of British Columbia Press,",,"xvi, 305 p.","0774803479, 077480369X, 2402511019959, 9780774803472, 9780774803694","123209231, 27816618, 423087793",,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES,ATHABASCA-142 BROCK-913 MEMORIAL-506 TORONTO-781 LAC-313 UBC-15 UBC-19 UBC-22 CALGARY-1089 UALBERTA-225 CONCORDIA-183 LAVAL-35 MANITOBA-921 MCGILL-56 MONTREAL-189 QUEENS-14 QUEENS-238 WILFRIDLAURIER-27 OTTAWA-780 TORONTO-699,20,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3
