ID,TITLE,TITLE_NORMALIZED,AUTHOR,EDITION,PUBLICATION_PLACE_AND_PUBLISHER,PUBLICATION_DATE,EXTENT,MATCHED_TITLES,TITLE_AUTHOR_DATE_COMBINED_NORMALIZED,TITLE_REMAINDER,AUTHOR_QUALIFIER,AUTHOR_DATE,BEGIN_PUBLICATION_DATE,PUBDATE_260,PUBDATE_264,PUBPLACE_260,PUBPLACE_264,PUBLISHER_260,PUBLISHER_264,ASSOCIATED_ISBNS,ASSOCIATED_OCLC_NUMBERS,LCCN,ATHABASCA,BROCK,CALGARY,CONCORDIA,LAC,LAVAL,MANITOBA,MCGILL,MEMORIAL,MONTREAL,OTTAWA,QUEENS,REGINA,TORONTO,UALBERTA,UBC,WILFRID_LAURIER,ALL_SCHOOLS,TITLE_MATCH_COUNT,ATHABASCA_RETENTION,BROCK_RETENTION,MEMORIAL_RETENTION,TORONTO_RETENTION,LAC_RETENTION,UBC_RETENTION,CALGARY_RETENTION,UALBERTA_RETENTION,CONCORDIA_RETENTION,LAVAL_RETENTION,MANITOBA_RETENTION,MCGILL_RETENTION,MONTREAL_RETENTION,QUEENS_RETENTION,REGINA_RETENTION,WILFRID_LAURIER_RETENTION,OTTAWA_RETENTION,RETENTIONS_APPLIED
138,Teach an Eskimo how to read-- :,,,,,,237 pages :,,teachaneskimohowtoreadconversationswithpeterfreuchenittinuar--2008,conversations with Peter Freuchen Ittinuar /,,,2008,,[2008];©2008,,Iqaluit :,,"Nunavut Arctic College,","1896204902, 9781896204901","288987276, 919238818",,,,,YES,YES,,YES,YES,YES,YES,YES,YES,,,YES,,,LAC-44 UALBERTA-37 CONCORDIA-3 OTTAWA-47 MANITOBA-36 MCGILL-19 QUEENS-16 MEMORIAL-15 MONTREAL-11,9,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,3
143,Thou shalt do no murder :,,"Harper, Kenn",,,,"416 pages, 24 unnumbered pages of plates :",,thoushaltdonomurderinuitinjusticeandthecanadianarctic-harp-2017,"Inuit, injustice, and the Canadian Arctic /",,,2017,,[2017];©2017,,"Iqaluit, NU :",,"Nunavut Arctic College Media,","1897568495, 9781897568491","981934465, 9781897568491, 1033488939",,,,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,REGINA-2 MEMORIAL-18 TORONTO-9 LAC-73 CALGARY-7 UALBERTA-47 CONCORDIA-5 OTTAWA-27 MANITOBA-40 MCGILL-24 MONTREAL-14 QUEENS-17,12,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3
144,Too many people :,,"Rasing, W. C. E,",New edition.,,,"ix, 558 pages :",,toomanypeoplecontactdisorderchangeinaninuitsociety18222015-rasi-2016,"contact, disorder, change in an Inuit society, 1822-2015 /",,,2016,,2016.,,"Iqaluit, Nunavut :",,"Nunavut Arctic College Media,","1897568401, 9781897568408",988838262,,,,YES,,YES,,YES,YES,YES,YES,YES,,,YES,YES,,,TORONTO-26 UALBERTA-45 MEMORIAL-21 LAC-72 CALGARY-14 OTTAWA-3 MANITOBA-19 MCGILL-25 MONTREAL-18,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3
147,Travelling and surviving on our land /,,"Kappianaq, George Agiaq,",,,,184 pages :,,travellingandsurvivingonourland-kapp-2001,,,,2001,,[2001];©2001,,"Iqaluit, Nunavut :",,"Nunavut Arctic College,","1896204503, 18966204503, 9781896204505","50495818, 77363060",,,,,,YES,,YES,,YES,YES,YES,YES,,YES,YES,,,MEMORIAL-17 TORONTO-41 LAC-21 UALBERTA-17 OTTAWA-10 MANITOBA-68 MONTREAL-3 QUEENS-7,8,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3
148,Tukisigiaruti qaujisaqtulirinirmut :,,"Canady, Andrea,",,,,264 p. :,,tukisigiarutiqaujisaqtulirinirmutlifesciencehandbookfornunavuteducators-cana-2005,life science handbook for Nunavut educators /,,1973-,2005,c2005.,,[Iqaluit] :,,"Nunavut Bilingual Education Society,",,"1896204791, 9781896204796",64669685,,,,,,YES,,,,,,,,,,YES,,,LAC-37 UALBERTA-34,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2
153,Ukpirnirkalirniq /,,"Tungilik, Victor.",,,,v. :,,ukpirnirkalirniq-tung-1999,,,,1999,c1999.,,"Iqaluit, Nunavut :",,"[Language and Culture Program], Nunavut Arctic College,",,18966204422,44713321,,,,,,,,YES,,YES,,YES,YES,,YES,YES,,,MEMORIAL-32 TORONTO-42 UALBERTA-67 OTTAWA-1 MANITOBA-67 QUEENS-6 OTTAWA-2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,3
154,Unikkaaqtuat unikkaallu sanirajarmit katitaujut /,,,,,,180 p. :,,unikkaaqtuatunikkaallusanirajarmitkatitaujut--2005,,,,2005,2005.,,Iqaluit :,,"Nunavuumit Marrungnit Uqasilingnut Ilinniaqtittinirmit Katujjiqatiginggit,",,"1896204775, 9781896204772",71538995,,,,,,YES,,,,,,,,,,YES,,,LAC-39 UALBERTA-36,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2
156,Uqausivut sivummuagutivut :,,,,,,198 pages :,,uqausivutsivummuagutivutourlanguageourleadership--2014,"our language, our leadership /",,,2014,,[2014],,"[Iqaluit, Nunavut] :",,"Nunavut Science Institute of the Nunavut Arctic College,","1897568193, 9781897568194",907263143,,,,,,,,YES,,YES,,,,,,,,,MANITOBA-27 MEMORIAL-24,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
157,Uqausivut sivummuagutivut :,,,,,,194 pages :,,uqausivutsivummuagutivuttitiraqtausimajutnuatausimajut--2014,titiraqtausimajut nuatausimajut /,,,2014,,[2014].;2013.,,"[Iqaluit, Nunavut] :",,"Nunavummi Qaujisaqtulirijikkut,","1897568207, 9781897568200",1110707375,,,,,,,,,,,YES,,,,,,,,MONTREAL-16,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
159,Utkuhiksalingmiut uqauhiitigut uqauhiliurut :,,,,,,"xi, 725 pages",,utkuhiksalingmiutuqauhiitigutuqauhiliurutdictionaryofutkuhiksalingmiutinukt--2015,dictionary of Utkuhiksalingmiut Inuktitut postbase suffixes /,,,2015,,2015.;©,,"Iqaluit, NU :",,"Nunavut Arctic College,","1897568320, 9781897568323",966257134,,,,YES,,,,YES,YES,YES,,,,,YES,,,,MEMORIAL-9 MCGILL-27 TORONTO-12 CALGARY-6 MANITOBA-32,5,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,3
