ID,TITLE_AUTHOR_DATE_COMBINED_NORMALIZED,TITLE,TITLE_REMAINDER,AUTHOR,AUTHOR_QUALIFIER,AUTHOR_DATE,EDITION,BEGIN_PUBLICATION_DATE,PUBDATE_260,PUBDATE_264,PUBPLACE_260,PUBPLACE_264,PUBLISHER_260,PUBLISHER_264,EXTENT,ASSOCIATED_ISBNS,ASSOCIATED_OCLC_NUMBERS,LCCN,ATHABASCA,BROCK,CALGARY,CONCORDIA,LAC,LAVAL,MANITOBA,MCGILL,MEMORIAL,MONTREAL,OTTAWA,QUEENS,REGINA,TORONTO,UALBERTA,UBC,WILFRID_LAURIER,ALL_SCHOOLS,TITLE_MATCH_COUNT,ATHABASCA_RETENTION,BROCK_RETENTION,MEMORIAL_RETENTION,TORONTO_RETENTION,LAC_RETENTION,UBC_RETENTION,CALGARY_RETENTION,UALBERTA_RETENTION,CONCORDIA_RETENTION,LAVAL_RETENTION,MANITOBA_RETENTION,MCGILL_RETENTION,MONTREAL_RETENTION,QUEENS_RETENTION,REGINA_RETENTION,WILFRID_LAURIER_RETENTION,OTTAWA_RETENTION,RETENTIONS_APPLIED
35,albertaslocalgovernmentspoliticsanddemocracy-mass-1994,Alberta's local governments :,politics and democracy /,"Masson, Jack K.",,,,1994,c1994.,,Edmonton :,,"University of Alberta Press,",,"xii, 603 p.","0888642512, 9780888642516","31171005, 300931615",,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,BROCK-31 MEMORIAL-35 TORONTO-1221 LAC-289 UBC-17 CALGARY-857 UALBERTA-300 CONCORDIA-90 MANITOBA-278 MCGILL-173 MONTREAL-38 QUEENS-44 REGINA-33 WILFRIDLAURIER-163 OTTAWA-97,15,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
36,albertasnorthahistory18901950-weth-2000,Alberta's north :,"a history, 1890-1950 /","Wetherell, Donald Grant,",,1949-,,2000,c2000.,,Edmonton :,,"Canadian Circumpolar Institute Press :;University of Alberta Press :;Alberta Community Development,",,"xxi, 493 pages :","088864342X, 1896445179","46471888, 752298265",cn 00910503,YES,YES,YES,YES,YES,,YES,YES,YES,,YES,YES,YES,YES,YES,YES,,MEMORIAL-324 TORONTO-343 MANITOBA-254 ATHABASCA-113 BROCK-248 LAC-385 UBC-22 UBC-32 CALGARY-672 UALBERTA-424 CONCORDIA-111 MCGILL-237 QUEENS-357 REGINA-236 OTTAWA-576 CALGARY-798,15,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
39,albertaspetroleumindustryandtheconservationboard-bree-1992,Alberta's petroleum industry and the Conservation Board /,,"Breen, David.",,,,1992,1992.,,Edmonton :,,"University of Alberta Press,",,"lvii, 800 p. :",0888642458,"605981792, 26854934",,,YES,YES,,YES,,YES,YES,YES,,YES,YES,YES,YES,,YES,,BROCK-333 UBC-16 MANITOBA-102 MEMORIAL-122 TORONTO-986 LAC-232 CALGARY-343 MCGILL-146 QUEENS-38 REGINA-135 OTTAWA-148,11,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
41,albertastudiesintheartsandsciences--1988,Alberta :,studies in the arts and sciences.,,,,,1988,[©1988]-,,[Edmonton] :,,"[University of Alberta Press],",,volumes :,,20781791,93640810,,,,,YES,,,YES,,,,,,,,,,LAC-153 MCGILL-110 ,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2
42,albertasupremecourtat100history&authority--2007,The Alberta Supreme Court at 100 :,history & authority /,,,,1st ed.,2007,c2007.,,Edmonton :,,"University of Alberta Press,",,"xxvi, 366 p. :","0888644930, 9780888644930",145429686,,,,YES,YES,YES,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,TORONTO-1122 UBC-37 UALBERTA-564 MONTREAL-46 QUEENS-183 REGINA-261 OTTAWA-312 LAC-776 CALGARY-158 CONCORDIA-183 MANITOBA-243 MCGILL-485 CALGARY-510,12,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3
45,alexanderdovzhenkoaguidetopublishedsources-nebe-1995,Alexander Dovzhenko :,a guide to published sources /,"Nebesio, Bohdan Y.,",,1961-,,1995,1995.,,Edmonton :,,"Canadian Institute of Ukrainian Studies Press,",,106 p.,,36692520,cn 97004549,,YES,,,,,,,,,,,,YES,,,,TORONTO-167 BROCK-180,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
47,alfalfatoivymemoirofaharvardmedicalschooldean-mart-2011,Alfalfa to ivy :,memoir of a Harvard Medical School dean /,"Martin, Joseph B.,",,1938-,1st ed.,2011,c2011.,,Edmonton :,,"Gutteridge Books,",,"xxi, 457 p. :","1551957000, 1551957019, 9781551957005, 9781551957012",748089061,2011514435,,,YES,,YES,,,,,,YES,YES,,YES,YES,YES,YES,TORONTO-159 TORONTO-624 LAC-589 UBC-432 CALGARY-7 UALBERTA-645 QUEENS-541 WILFRIDLAURIER-206 OTTAWA-564,9,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3
48,algalbowloverfertilizationoftheworldsfreshwatersandestuaries-schi-2008,The algal bowl :,overfertilization of the world's freshwaters and estuaries /,"Schindler, D. W.,",,1940-,Rev. and expanded ed.,2008,2008.,,Edmonton :,,"University of Alberta Press,",,"xiii, 324 p. :","0888644841, 9780888644848","797135441, 191759682, 429489085",,YES,YES,YES,YES,YES,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,ATHABASCA-157 BROCK-181 MEMORIAL-436 TORONTO-685 TORONTO-838 LAC-518 UBC-39 CALGARY-863 UALBERTA-566 CONCORDIA-157 MCGILL-332 MONTREAL-85 QUEENS-388 REGINA-170 WILFRIDLAURIER-199 OTTAWA-118,16,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
49,alicemunroparadoxandparallel-mart-1987,Alice Munro :,paradox and parallel /,"Martin, W. R.","(Walter Rintoul),",1920-,,1987,c1987.,,Edmonton :,,"University of Alberta Press,",,"xiv, 235 p. :","088864115X, 0888641168, 9780888641151, 9780888641168","17620607, 424083811",,YES,YES,,,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,ATHABASCA-54 BROCK-131 MEMORIAL-159 TORONTO-1016 LAC-125 UBC-8 UALBERTA-399 MANITOBA-444 MCGILL-93 MONTREAL-81 QUEENS-219 REGINA-108 WILFRIDLAURIER-105 OTTAWA-437,14,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
50,allthefeelsaffectandwritingincanadatouslessensaffectetecritureaucanada--2020,All the feels :,affect and writing in Canada = Tous les sens : affect et écriture au Canada /,,,,First edition.,2020,,2020.;©2021,,"Edmonton, Alberta, Canada :",,"University of Alberta Press,","xlvi, 306 pages","1772124877, 9781772124873, 9781772125221, 9781772125238, 9781772125245",1111252502,2020446487,,,YES,,YES,,,,,,,YES,,YES,,,,LAC-792 TORONTO-18 CALGARY-100 QUEENS-299,4,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3
